"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240901","경의선","서강대","1492","1517","20240904",""
"20240901","경의선","홍대입구","2389","2714","20240904",""
"20240901","경의선","가좌","3138","3243","20240904",""
"20240901","경의선","디지털미디어시티","1728","1644","20240904",""
"20240901","경의선","수색","1308","1421","20240904",""
"20240901","경의선","한국항공대","1054","1215","20240904",""
"20240901","경의선","강매","1646","1492","20240904",""
"20240901","경의선","행신","4949","4810","20240904",""
"20240901","경의선","능곡","2804","2733","20240904",""
"20240901","경의선","곡산","368","352","20240904",""
"20240901","경의선","백마","3964","3802","20240904",""
"20240901","경의선","풍산","3964","3804","20240904",""
"20240901","경의선","일산","6135","5697","20240904",""
"20240901","경의선","탄현","4608","4228","20240904",""
"20240901","경의선","야당","5881","5711","20240904",""
"20240901","경의선","운정","4405","4069","20240904",""
"20240901","경의선","금릉","3443","3245","20240904",""
"20240901","경의선","금촌","4992","5441","20240904",""
"20240901","경의선","월롱","971","1367","20240904",""
"20240901","경의선","파주","824","736","20240904",""
"20240901","경의선","문산","4228","4271","20240904",""
"20240901","경의선","임진강","82","89","20240904",""
"20240901","경의선","운천","1","4","20240904",""
"20240901","경인선","개봉","12368","12494","20240904",""
"20240901","경인선","오류동","7108","6735","20240904",""
"20240901","경인선","역곡","14528","14756","20240904",""
"20240901","경인선","부천","23502","23184","20240904",""
"20240901","경인선","송내","13399","13032","20240904",""
"20240901","경인선","부평","22668","22546","20240904",""
"20240901","경인선","백운","4595","4404","20240904",""
"20240901","경인선","동암","10152","9843","20240904",""
"20240901","경인선","주안","12414","11097","20240904",""
"20240901","경인선","제물포","5603","5522","20240904",""
"20240901","경인선","동인천","9726","9270","20240904",""
"20240901","경인선","인천","4187","3506","20240904",""
"20240901","경인선","구일","3317","3285","20240904",""
"20240901","경인선","소사","5572","5146","20240904",""
"20240901","경인선","부개","5160","4817","20240904",""
"20240901","경인선","간석","3416","3245","20240904",""
"20240901","경인선","도원","1844","1826","20240904",""
"20240901","경인선","온수(성공회대입구)","3931","3649","20240904",""
"20240901","경인선","중동","5193","4914","20240904",""
"20240901","경인선","도화","2514","2358","20240904",""
"20240901","경춘선","신내","1375","1359","20240904",""
"20240901","경춘선","갈매","1494","1382","20240904",""
"20240901","경춘선","별내","1963","1577","20240904",""
"20240901","경춘선","퇴계원","2042","1913","20240904",""
"20240901","경춘선","사릉","1356","1313","20240904",""
"20240901","경춘선","금곡","954","921","20240904",""
"20240901","경춘선","평내호평","3742","3594","20240904",""
"20240901","경춘선","천마산","1086","1033","20240904",""
"20240901","경춘선","마석","2768","2577","20240904",""
"20240901","경춘선","대성리","1214","532","20240904",""
"20240901","경춘선","청평","2458","1667","20240904",""
"20240901","경춘선","상천","480","366","20240904",""
"20240901","경춘선","가평","4469","3107","20240904",""
"20240901","경춘선","굴봉산","261","149","20240904",""
"20240901","경춘선","백양리","204","146","20240904",""
"20240901","경춘선","강촌","813","539","20240904",""
"20240901","경춘선","김유정","486","405","20240904",""
"20240901","경춘선","남춘천","3019","3532","20240904",""
"20240901","경춘선","춘천","1920","1818","20240904",""
"20240901","공항철도 1호선","서울역","14656","13156","20240904",""
"20240901","공항철도 1호선","공덕","2019","2804","20240904",""
"20240901","공항철도 1호선","홍대입구","15551","14173","20240904",""
"20240901","공항철도 1호선","디지털미디어시티","4617","4675","20240904",""
"20240901","공항철도 1호선","마곡나루(서울식물원)","3542","3959","20240904",""
"20240901","공항철도 1호선","김포공항","8865","4549","20240904",""
"20240901","공항철도 1호선","계양","7247","6881","20240904",""
"20240901","공항철도 1호선","검암","3822","3833","20240904",""
"20240901","공항철도 1호선","청라국제도시","4168","4070","20240904",""
"20240901","공항철도 1호선","운서","8151","8719","20240904",""
"20240901","공항철도 1호선","공항화물청사","1009","2836","20240904",""
"20240901","공항철도 1호선","인천공항1터미널","16086","14820","20240904",""
"20240901","공항철도 1호선","인천공항2터미널","9142","6464","20240904",""
"20240901","공항철도 1호선","영종","3349","3042","20240904",""
"20240901","과천선","선바위","3975","3338","20240904",""
