"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241210","수인선","송도","2390","2116","20241213"
"20241210","5호선","송정","7151","6878","20241213"
"20241210","경부선","송탄","4173","4072","20241213"
"20241210","8호선","송파","11219","11117","20241213"
"20241210","9호선2~3단계","송파나루","6196","6599","20241213"
"20241210","분당선","수내","14900","15022","20241213"
"20241210","7호선","수락산","14083","13921","20241213"
"20241210","안산선","수리산","4483","3631","20241213"
"20241210","경의선","수색","3117","3199","20241213"
"20241210","분당선","수서","17816","18707","20241213"
"20241210","3호선","수서","21209","21011","20241213"
"20241210","분당선","수원","7656","7074","20241213"
"20241210","경부선","수원","37443","39843","20241213"
"20241210","분당선","수원시청","13774","14696","20241213"
"20241210","4호선","수유(강북구청)","36915","37302","20241213"
"20241210","8호선","수진","6005","5536","20241213"
"20241210","4호선","숙대입구(갈월)","17370","16688","20241213"
"20241210","7호선","숭실대입구(살피재)","16835","16931","20241213"
"20241210","수인선","숭의","4174","3825","20241213"
"20241210","2호선","시청","31462","30550","20241213"
"20241210","1호선","시청","29025","28765","20241213"
"20241210","분당선","신갈","5167","5019","20241213"
"20241210","5호선","신금호","7216","7762","20241213"
"20241210","경부선","신길","9623","8423","20241213"
"20241210","5호선","신길","5500","5913","20241213"
"20241210","안산선","신길온천","2241","1932","20241213"
"20241210","경춘선","신내","3338","2984","20241213"
"20241210","6호선","신내","2","0","20241213"
"20241210","9호선","신논현","34118","34187","20241213"
"20241210","2호선","신답","1860","2165","20241213"
"20241210","2호선","신당","16300","17154","20241213"
"20241210","6호선","신당","9832","10219","20241213"
"20241210","2호선","신대방","27220","26347","20241213"
"20241210","7호선","신대방삼거리","16721","16247","20241213"
"20241210","경부선","신도림","4107","4438","20241213"
"20241210","2호선","신도림","56799","54718","20241213"
"20241210","경강선","신둔도예촌","1477","1406","20241213"
"20241210","2호선","신림","59274","58320","20241213"
"20241210","신림선","신림","2394","2879","20241213"
"20241210","9호선","신목동","5514","4902","20241213"
"20241210","9호선","신반포","4794","4620","20241213"
"20241210","9호선","신방화","7957","7875","20241213"
"20241210","3호선","신사","30514","31888","20241213"
"20241210","1호선","신설동","15063","14542","20241213"
"20241210","우이신설선","신설동","2899","2700","20241213"
"20241210","2호선","신설동","3649","3663","20241213"
"20241210","4호선","신용산","22134","23677","20241213"
"20241210","중앙선","신원","230","209","20241213"
"20241210","경원선","신이문","8614","7939","20241213"
"20241210","5호선","신정(은행정)","15077","12504","20241213"
"20241210","2호선","신정네거리","11778","12277","20241213"
"20241210","장항선","신창(순천향대)","2329","2233","20241213"
"20241210","경의선","신촌","733","1099","20241213"
"20241210","2호선","신촌","40582","41269","20241213"
"20241210","수인선","신포","1801","1831","20241213"
"20241210","7호선","신풍","13172","12440","20241213"
"20241210","8호선","신흥","5753","5717","20241213"
"20241210","4호선","쌍문","32870","30848","20241213"
"20241210","장항선","쌍용(나사렛대)","2916","2912","20241213"
"20241210","장항선","아산","3680","3206","20241213"
"20241210","중앙선","아신","500","492","20241213"
"20241210","5호선","아차산(어린이대공원후문)","16126","15887","20241213"
"20241210","2호선","아현","12152","11535","20241213"
"20241210","3호선","안국","27706","28579","20241213"
"20241210","안산선","안산","12155","11040","20241213"
"20241210","6호선","안암(고대병원앞)","15284","15521","20241213"
"20241210","경부선","안양","25168","24963","20241213"
"20241210","8호선","암사","18930","17360","20241213"
"20241210","8호선","암사역사공원","6842","6073","20241213"
"20241210","3호선","압구정","34787","37372","20241213"
"20241210","분당선","압구정로데오","18843","19969","20241213"
"20241210","5호선","애오개","7401","7347","20241213"
"20241210","경의선","야당","8675","8334","20241213"
"20241210","수인선","야목","380","310","20241213"
"20241210","분당선","야탑","26790","28623","20241213"
"20241210","3호선","약수","14180","13823","20241213"
"20241210","6호선","약수","4160","4149","20241213"
"20241210","중앙선","양수","1824","1724","20241213"
"20241210","중앙선","양원","3214","3003","20241213"
"20241210","3호선","양재(서초구청)","44208","47122","20241213"
"20241210","중앙선","양정","528","451","20241213"
"20241210","경원선","양주","7853","7335","20241213"
"20241210","2호선","양천구청","8078","8456","20241213"
"20241210","9호선","양천향교","11612","12023","20241213"
"20241210","5호선","양평","9133","8980","20241213"
"20241210","중앙선","양평","3004","3017","20241213"
"20241210","7호선","어린이대공원(세종대)","19505","20086","20241213"
"20241210","수인선","어천","1264","1267","20241213"
"20241210","9호선2~3단계","언주","13567","13829","20241213"
